날짜,요일,날씨,기온,강수mm,행사중여부,공휴일여부,신메뉴여부,품목,구분,수요,판매수량,매진여부,매진시각,비고_시나리오
2025-01-01,수,흐림,-5.6,0.0,False,True,False,치킨 토마토 치즈 샌드위치,완제품,18,18,False,,공휴일
2025-01-01,수,흐림,-5.6,0.0,False,True,False,단호박 에그 샌드위치,완제품,14,14,False,,공휴일
2025-01-01,수,흐림,-5.6,0.0,False,True,False,크루아상,완제품,26,26,False,,공휴일
2025-01-01,수,흐림,-5.6,0.0,False,True,False,뉴욕 치즈 케이크,완제품,9,9,False,,공휴일
2025-01-01,수,흐림,-5.6,0.0,False,True,False,카페 라테,판매음료,40,40,False,,공휴일
2025-01-01,수,흐림,-5.6,0.0,False,True,False,아메리카노,판매음료,52,52,False,,공휴일
2025-01-01,수,흐림,-5.6,0.0,False,True,False,카페 모카,판매음료,18,18,False,,공휴일
2025-01-01,수,흐림,-5.6,0.0,False,True,False,그린 티 라테,판매음료,13,13,False,,공휴일
2025-01-02,목,맑음,-1.5,0.0,False,False,False,치킨 토마토 치즈 샌드위치,완제품,18,18,False,,정상
2025-01-02,목,맑음,-1.5,0.0,False,False,False,단호박 에그 샌드위치,완제품,13,13,False,,정상
2025-01-02,목,맑음,-1.5,0.0,False,False,False,크루아상,완제품,25,25,False,,정상
2025-01-02,목,맑음,-1.5,0.0,False,False,False,뉴욕 치즈 케이크,완제품,8,8,False,,정상
2025-01-02,목,맑음,-1.5,0.0,False,False,False,카페 라테,판매음료,37,37,False,,정상
2025-01-02,목,맑음,-1.5,0.0,False,False,False,아메리카노,판매음료,50,50,False,,정상
2025-01-02,목,맑음,-1.5,0.0,False,False,False,카페 모카,판매음료,16,16,False,,정상
2025-01-02,목,맑음,-1.5,0.0,False,False,False,그린 티 라테,판매음료,13,13,False,,정상
2025-01-03,금,흐림,-5.8,0.0,False,False,False,치킨 토마토 치즈 샌드위치,완제품,19,19,False,,정상
2025-01-03,금,흐림,-5.8,0.0,False,False,False,단호박 에그 샌드위치,완제품,13,13,False,,정상
2025-01-03,금,흐림,-5.8,0.0,False,False,False,크루아상,완제품,25,25,False,,정상
2025-01-03,금,흐림,-5.8,0.0,False,False,False,뉴욕 치즈 케이크,완제품,9,9,False,,정상
2025-01-03,금,흐림,-5.8,0.0,False,False,False,카페 라테,판매음료,38,38,False,,정상
2025-01-03,금,흐림,-5.8,0.0,False,False,False,아메리카노,판매음료,49,49,False,,정상
2025-01-03,금,흐림,-5.8,0.0,False,False,False,카페 모카,판매음료,17,17,False,,정상
2025-01-03,금,흐림,-5.8,0.0,False,False,False,그린 티 라테,판매음료,14,14,False,,정상
2025-01-04,토,흐림,4.1,0.0,False,False,False,치킨 토마토 치즈 샌드위치,완제품,22,22,False,,정상
2025-01-04,토,흐림,4.1,0.0,False,False,False,단호박 에그 샌드위치,완제품,18,18,False,,정상
2025-01-04,토,흐림,4.1,0.0,False,False,False,크루아상,완제품,30,30,False,,정상
2025-01-04,토,흐림,4.1,0.0,False,False,False,뉴욕 치즈 케이크,완제품,11,11,False,,정상
2025-01-04,토,흐림,4.1,0.0,False,False,False,카페 라테,판매음료,46,46,False,,정상
2025-01-04,토,흐림,4.1,0.0,False,False,False,아메리카노,판매음료,61,61,False,,정상
2025-01-04,토,흐림,4.1,0.0,False,False,False,카페 모카,판매음료,20,20,False,,정상
2025-01-04,토,흐림,4.1,0.0,False,False,False,그린 티 라테,판매음료,17,17,False,,정상
2025-01-05,일,흐림,-3.9,0.0,False,False,False,치킨 토마토 치즈 샌드위치,완제품,21,21,False,,정상
2025-01-05,일,흐림,-3.9,0.0,False,False,False,단호박 에그 샌드위치,완제품,16,16,False,,정상
2025-01-05,일,흐림,-3.9,0.0,False,False,False,크루아상,완제품,29,29,False,,정상
2025-01-05,일,흐림,-3.9,0.0,False,False,False,뉴욕 치즈 케이크,완제품,11,11,False,,정상
2025-01-05,일,흐림,-3.9,0.0,False,False,False,카페 라테,판매음료,45,45,False,,정상
2025-01-05,일,흐림,-3.9,0.0,False,False,False,아메리카노,판매음료,58,58,False,,정상
2025-01-05,일,흐림,-3.9,0.0,False,False,False,카페 모카,판매음료,20,20,False,,정상
2025-01-05,일,흐림,-3.9,0.0,False,False,False,그린 티 라테,판매음료,15,15,False,,정상
2025-01-06,월,비,-3.4,4.3,True,False,False,치킨 토마토 치즈 샌드위치,완제품,16,16,False,,할인행사
2025-01-06,월,비,-3.4,4.3,True,False,False,단호박 에그 샌드위치,완제품,11,11,False,,할인행사
2025-01-06,월,비,-3.4,4.3,True,False,False,크루아상,완제품,23,23,False,,할인행사
2025-01-06,월,비,-3.4,4.3,True,False,False,뉴욕 치즈 케이크,완제품,9,9,False,,할인행사
2025-01-06,월,비,-3.4,4.3,True,False,False,카페 라테,판매음료,36,36,False,,할인행사
2025-01-06,월,비,-3.4,4.3,True,False,False,아메리카노,판매음료,43,43,False,,할인행사
2025-01-06,월,비,-3.4,4.3,True,False,False,카페 모카,판매음료,15,15,False,,할인행사
2025-01-06,월,비,-3.4,4.3,True,False,False,그린 티 라테,판매음료,12,12,False,,할인행사
2025-01-07,화,맑음,-3.7,0.0,False,False,False,치킨 토마토 치즈 샌드위치,완제품,18,18,False,,정상
2025-01-07,화,맑음,-3.7,0.0,False,False,False,단호박 에그 샌드위치,완제품,13,13,False,,정상
2025-01-07,화,맑음,-3.7,0.0,False,False,False,크루아상,완제품,25,25,False,,정상
